,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,WordL,VERB,NOUN,ADP,.,ADJ,ADV,CONJ,PRON,PRT,NUM,X
Jason X 2001.txt,0.0884887962837,0.31470146789,0.491558689413,0.629163909039,0.456675044772,0.738413370383,0.418129012107,0.35137101564,0.611686419984,0.254242608288,0.560015940526,0.258040760436,0.287662482475,0.315906121556,0.162681350918,0.460889983704,0.572758065069,0.413320334182,0.278231252829,0.520250352641,0.852728612298,0.342843659448,0.506534043082,0.683526364943,0.451213962515,0.523944998007,0.716765913827,0.282223970198,0.496548434516,0.22351361081,6506.0,0.225023055641,3.38825699354,0.173839532739,0.218106363357,0.0430371964341,0.237626806025,0.0533353827236,0.0461112818936,0.0132185674762,0.110205963726,0.0298186289579,0.00952966492468,0.0
Darkman 1990.txt,0.404681432948,0.718180073841,0.569842865463,0.430465297482,0.347091561916,0.131610164175,0.0995513897931,0.327377615646,0.254270742148,0.717132307142,0.977764767254,0.157147620091,0.739855482209,0.43293633561,0.460978576393,0.828979734705,0.13010382231,0.954237011862,0.583784177611,0.266808220695,0.819257536429,0.0618326968063,0.960517992051,0.512592996924,0.789415397045,0.622471817507,0.190168662478,0.0967527341992,0.491103763063,0.661047023627,5760.0,0.209895833333,3.296875,0.186805555556,0.181770833333,0.0493055555556,0.217534722222,0.0373263888889,0.0652777777778,0.0109375,0.142708333333,0.0262152777778,0.00590277777778,0.0
Ghost And The Darkness The 1996.txt,0.661281163368,0.745966647053,0.51110372595,0.278996114485,0.495802693254,0.218062735116,0.357737598833,0.39167171092,0.192177979165,0.748115050917,0.981500091494,0.1612390724,0.848727980586,0.292652899438,0.453272977213,0.982796108619,0.287310966878,0.965203107215,0.875913536403,0.485893263574,0.755950755767,0.114084066659,0.983909275156,0.550575392194,0.807054455176,0.647094041448,0.0839534402797,0.242813420668,0.407002932399,0.532280848314,6417.0,0.191990026492,3.34439769363,0.209599501325,0.15084930653,0.0599968832788,0.20149602618,0.0383356708742,0.0699703911485,0.0158952781674,0.139473274116,0.028517999065,0.00607760635811,0.0
Uninvited The 2009.txt,0.712173721703,0.917470426055,0.338426950383,0.194089543051,0.341287577336,0.0234896360647,0.122794136685,0.514854812517,0.057624497715,0.823607141555,0.996259248838,0.271039881767,0.860294205225,0.600588610131,0.562352895646,0.950683689215,0.408310472261,0.998947618636,0.877100988978,0.238840644885,0.45484106369,0.383067777689,0.665386027452,0.0287813353727,0.610904147062,0.662666561579,0.159896929698,0.0600349040389,0.653918118248,0.252282098466,6463.0,0.171901593687,3.216308216,0.212904224045,0.15519108773,0.0530713291041,0.205786786322,0.033421011914,0.0691629274331,0.0145443292589,0.150858734334,0.034039919542,0.00448708030326,0.0
United 93 2006.txt,0.660699535997,0.748643679444,0.0304643950308,0.831765331863,0.746069629378,0.532798416597,0.564359500995,0.952017021676,0.0810675166068,0.95453601514,0.982540924878,0.00491270218768,0.2034274339,0.0102756882327,0.175992360616,0.415765438486,0.833692775194,0.767330448928,0.276537788082,0.758010196404,0.880805726826,0.605458350678,0.909724666752,0.0252147350706,0.291631941774,0.116032553342,0.0754195007372,0.320989997927,0.697403083754,0.288061349918,16373.0,0.108837720638,3.3466072192,0.18811457888,0.188053502718,0.0614426189458,0.201856715324,0.0377450680999,0.0543577841568,0.0134367556343,0.121052953032,0.0280339583461,0.0214988090148,0.0
Vikingdom 2013.txt,0.499153355154,0.55333091205,0.44210821411,0.408822642903,0.456287548631,0.241057988172,0.385179645009,0.348024568235,0.315119708937,0.505090224691,0.914887290542,0.22118438122,0.866934125262,0.378722253162,0.373733924363,0.989631750377,0.345196255664,0.952188694407,0.863907350383,0.437309928352,0.604784109237,0.0931310450063,0.995541580678,0.785515044713,0.955047607247,0.721677504502,0.221319980966,0.241049033259,0.43819270361,0.35346800575,7916.0,0.175341081354,3.31808994442,0.177362304194,0.188731682668,0.0733956543709,0.205280444669,0.0341081354219,0.0557099545225,0.0213491662456,0.134537645275,0.0261495704901,0.0022738756948,0.0
Private Detective Two Plus Two Plus One 1997.txt,0.568252340019,0.533084460369,0.528213579021,0.179809817277,0.219142161148,0.127076449296,0.0643242710447,0.182649942764,0.176667575248,0.402628132323,0.980485627315,0.316310867639,0.872672889472,0.512215771689,0.546565583844,0.948916126849,0.137726912811,0.980334185863,0.866021107005,0.409900668993,0.445993805752,0.044030024298,0.911315095161,0.402403075494,0.465721745157,0.767638138203,0.346718981028,0.0110773598585,0.310604056943,0.163178996558,9408.0,0.159013605442,3.35267857143,0.225659013605,0.146364795918,0.0586734693878,0.182079081633,0.0295493197279,0.0707908163265,0.016369047619,0.173044217687,0.0286989795918,0.00520833333333,0.0
Undercurrent 1946.txt,0.794093804393,0.944363743084,0.407080402803,0.276465323557,0.393865096637,0.0576513679617,0.0830889530134,0.409404348519,0.0780006465424,0.850297842855,0.996871345301,0.175916679958,0.911619830184,0.418412584992,0.528256632894,0.983170203824,0.320042340612,0.996156248874,0.934646915777,0.221529554324,0.483640596752,0.167959319655,0.893887083631,0.100604110436,0.742637388009,0.521411824071,0.0952899673879,0.131171958002,0.607536073184,0.346284990633,18897.0,0.102344287453,3.1171614542,0.19860295285,0.141186431709,0.0574165211409,0.231465311954,0.0380483674657,0.070646134307,0.0138646345981,0.15113510081,0.0256654495423,0.00349261787585,0.0
White Oleander 2002.txt,0.635383044069,0.786514121963,0.364926029456,0.210057213357,0.31984273521,0.105261148184,0.136157713711,0.412180904372,0.167478169419,0.595217409755,0.987091630692,0.250986478125,0.908372920955,0.546341280668,0.545599655867,0.903734194608,0.368225137057,0.988079963301,0.909919225183,0.463976437502,0.631302905794,0.245877166011,0.861515461585,0.126363693396,0.731729405463,0.618969997107,0.190166160207,0.0339514965232,0.644857343258,0.251246048337,10329.0,0.144350856811,3.13844515442,0.214541581954,0.130796785749,0.0565398392874,0.208054990803,0.0335947332752,0.0747410204279,0.0126827379224,0.176493368187,0.02933488237,0.00464711007842,0.0
Ring of Fire 1991.txt,0.654800827287,0.706364312225,0.912565589494,0.777604184363,0.541203642621,0.808972402402,0.596272365314,0.127665033246,0.674114338279,0.758398663981,0.253338767155,0.516668349223,0.73255330639,0.453058146302,0.102386436833,0.958071638191,0.064749787935,0.520338061882,0.922639582794,0.424383624365,0.649811104004,0.00871309317897,0.997071005091,0.989983335373,0.9965615821,0.834668380234,0.186020340964,0.891209105873,0.0429236218253,0.967841834618,2489.0,0.362394535958,4.35717155484,0.129770992366,0.279228605866,0.140618722378,0.0920048212133,0.0787464845319,0.0389714744877,0.0257131378063,0.0349537967055,0.0249096022499,0.0180795500201,0.0
