,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,Verb/Noun,Zipf,WordL,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2
Zappa,0.423492788331,0.697225940297,0.178536799304,0.532449510565,0.366342508859,0.286319085409,0.270951855313,0.622011553875,0.238562790612,0.707317835033,0.964061213792,0.0663683742639,0.441733523716,0.145510063031,0.639064786508,0.569343916539,0.671764449152,0.844860854378,0.550389746697,0.590624919737,0.823102329138,0.629835523767,0.676522691598,0.0725373909765,0.379329686557,0.29172086074,0.151526717757,0.189836160962,0.577794502025,0.270460343867,6362.0,0.18091795033,0.89396411093,0.929257329788,3.08880855077,N/A,Danish,Denmark,Bille August,1983,"Comedy, Drama, Romance",103,"1,777",Adam Tønsberg, Peter Reichhardt
White Noise 2: The Light,0.505671421645,0.751308490724,0.490131517727,0.356417886779,0.236362437789,0.0447326203397,0.0824433726797,0.270596629187,0.150973541855,0.702484071881,0.977347421135,0.164488305294,0.747496527239,0.422085869,0.482883349493,0.924172681311,0.266972811054,0.992248201654,0.659730248335,0.172554999681,0.703245797177,0.161374248722,0.911263140068,0.26675593761,0.680489074282,0.673933896508,0.156529532806,0.101389030171,0.427683205657,0.477526397078,5508.0,0.19535221496,0.808864265928,0.927282503829,3.11437908497,PG-13,English,"USA, Canada",Patrick Lussier,2007,"Drama, Fantasy, Horror",99,"11,320",Nathan Fillion, Katee Sackhoff
In the Heart of the Sea,0.735785541512,0.739839282847,0.172119072258,0.761713158174,0.719128586233,0.616920959342,0.535123449321,0.844418025555,0.143273646074,0.949253400128,0.945086270752,0.0376471096128,0.569984082556,0.0468466926905,0.139707534642,0.97288550652,0.604884717086,0.847465529694,0.753587510742,0.690631473922,0.7687374271,0.14170857757,0.995127650531,0.324235080396,0.838595682946,0.306255517209,0.0918519376298,0.290627390893,0.406863180899,0.434879966506,8406.0,0.197953842493,1.31791483113,0.944379194963,3.33357125862,PG-13,English,"USA, Australia, Spain, UK, Canada",Ron Howard,2015,"Action, Adventure, Biography",122,"77,170",Chris Hemsworth, Benjamin Walker
Please Kill Mr. Know It All,0.592964985324,0.820983338585,0.375920361699,0.235067752689,0.338461800786,0.0867030184617,0.150220129443,0.401949113674,0.201467339574,0.637723639205,0.977288627217,0.157211737602,0.72252697111,0.382796774856,0.545066134664,0.810291336201,0.414087076038,0.98583985618,0.810012515079,0.361658935648,0.779583498421,0.357807919237,0.914044432348,0.19311819397,0.704093055135,0.531264832114,0.0836233610875,0.13983852553,0.612924989287,0.443314571827,10550.0,0.141800947867,0.739310344828,0.920565686539,3.15668246445,N/A,English,Canada,"Colin Carter, Sandra Feldman",2012,"Comedy, Crime, Romance",87,151,Lara Jean Chorostecki, Jefferson Brown
Queen Christina,0.813346333855,0.802635484478,0.245489967395,0.342940750148,0.800201259939,0.544546599845,0.794670311716,0.799705736704,0.267843993431,0.760759279882,0.98904043851,0.166668016654,0.967326900816,0.259013208921,0.287623481851,0.99891244223,0.686316282382,0.902756545059,0.984527349551,0.675975440181,0.797561834354,0.110686291144,0.99889579973,0.59871881951,0.993380276938,0.375328708764,0.0872635561461,0.557897690596,0.761836525875,0.602912737783,9835.0,0.16858159634,1.03065355697,0.945577056563,3.47788510422,APPROVED,"English, Spanish",USA,Rouben Mamoulian,1933,"Biography, Drama, History",99,"5,623",Greta Garbo, John Gilbert
Manhattan Murder Mystery,0.584136578226,0.87964682432,0.415503951443,0.301247101475,0.287910514674,0.0488808007595,0.0609798432146,0.507908735985,0.107721325148,0.830532728658,0.988775767219,0.135735537757,0.672264306987,0.337142907429,0.697897132037,0.804969817401,0.311827833709,0.983533290427,0.680131015642,0.233623086953,0.572615351919,0.232113970079,0.860435170697,0.0999929187841,0.662240336156,0.441781532422,0.116183964611,0.0887505051235,0.531434205227,0.507343351646,18039.0,0.114695936582,0.671506849315,0.962993789437,3.01945784134,PG,English,USA,Woody Allen,1993,"Comedy, Mystery",104,"28,714",Woody Allen, Diane Keaton
Operation Amsterdam,0.753327287676,0.748131981127,0.0835353908624,0.564533498143,0.767648819368,0.602048598002,0.716182370876,0.880154974192,0.147167879659,0.869000007097,0.996448985489,0.0240159901269,0.674910708024,0.0632969431467,0.199107533019,0.936146161244,0.764739721867,0.940931893122,0.865835184657,0.81643562107,0.850625393257,0.50641893474,0.949285798995,0.102655047375,0.483553503005,0.277233424121,0.0825892693226,0.331644547819,0.653775674598,0.175904848673,6959.0,0.164822531973,0.847719298246,0.915899237909,3.35292427073,N/A,English,UK,Michael McCarthy,1959,"Drama, History, War",104,448,Peter Finch, Eva Bartok
Gigantic,0.420804362982,0.891246242145,0.187105238701,0.567857000583,0.38042279608,0.067929677672,0.157657925489,0.62863166508,0.151891133015,0.804495017432,0.978749306467,0.0538818350427,0.402439524137,0.22731030121,0.64718696423,0.622822369324,0.658967200539,0.958816280616,0.461219202497,0.29232283893,0.846428216387,0.590713838859,0.791371055868,0.0407110350396,0.630494801477,0.278792781864,0.0729254750334,0.217043949627,0.699607590875,0.518142666855,10700.0,0.170186915888,0.979876160991,0.954899877618,3.20962616822,R,"English, French",USA,Matt Aselton,2008,"Comedy, Drama, Romance",98,"8,448",Paul Dano, Zooey Deschanel
Gift,0.56283264983,0.749058111921,0.417785148239,0.244529188493,0.301627809986,0.149114009864,0.156733072185,0.358555386358,0.250670251511,0.579944578877,0.972307505494,0.203149197773,0.759696257414,0.475151133855,0.489599051536,0.823114594591,0.32004549966,0.977351065165,0.837850983783,0.475901816815,0.732890663564,0.289421855604,0.874039121172,0.110423526537,0.474582839671,0.587976572526,0.135660277944,0.0880848015568,0.517765826816,0.33779947211,6750.0,0.179407407407,0.664174031271,0.940672629821,3.33407407407,N/A,English,USA,"Perry Farrell, Casey Niccoli",1993,"Documentary, Music",80,224,Eric Avery, Sherri Durell
Revenge of the Ninja,0.273040933486,0.445821990524,0.138437266549,0.577700030532,0.285712987036,0.145444441568,0.258740110359,0.565920843407,0.331879864138,0.35520956424,0.937949738261,0.0524034928581,0.532489202644,0.14715009197,0.569150598486,0.508024713263,0.677809647511,0.932112097962,0.492428541258,0.58228867412,0.916930380248,0.641281150554,0.887342898208,0.234316131749,0.48670943839,0.447284792088,0.219786859476,0.0637374918014,0.618700904037,0.169830124442,4119.0,0.219470745327,0.750281214848,0.92149141822,3.24350570527,R,English,USA,Sam Firstenberg,1983,"Action, Crime, Drama",90,"3,237",Shô Kosugi, Keith Vitali
Kiss of the Damned,0.651154701626,0.925598257956,0.424961919269,0.229307962046,0.409898307828,0.0929374919582,0.233991520003,0.516080505227,0.207307109878,0.710686664404,0.994067561183,0.232833640135,0.893718834893,0.554858141454,0.582443785837,0.931945045267,0.38532237572,0.995092233451,0.862538993706,0.305025393584,0.834419978835,0.291582329371,0.933664403002,0.237277613783,0.874690970824,0.657577220439,0.0808624680551,0.172782822739,0.639048111771,0.592923706598,6107.0,0.179793679384,0.613586559533,0.927933359879,3.23415752415,R,English,USA,Xan Cassavetes,2012,"Drama, Horror, Romance",97,"3,661",Joséphine de La Baume, Milo Ventimiglia
White Reindeer,0.541978216548,0.926780755906,0.51266263044,0.738237630865,0.189296197102,0.00737917212188,0.164513720596,0.449580369346,0.140456235434,0.917838642217,0.958668820796,0.240964467502,0.476778871413,0.687902857431,0.353350076788,0.762256464785,0.272333447399,0.998443427092,0.402046804922,0.0495831773128,0.668317373352,0.314961145606,0.504083841868,0.241340433581,0.906116015968,0.56519843499,0.159054457963,0.199230774563,0.699380281074,0.32567345748,11688.0,0.106861738535,1.29547790339,0.988528241957,3.15092402464,UNRATED,English,USA,Zach Clark,2013,"Comedy, Drama",82,871,Anna Margaret Hollyman, Laura Lemar-Goldsborough
Viva Zapatero!,0.433638521699,0.313253401171,0.682666888512,0.208861642436,0.391257216577,0.435080794704,0.345890035892,0.1267122939,0.118475179572,0.74004599986,0.436100903259,0.490560104159,0.478176594708,0.364249999087,0.263050760631,0.988001688904,0.0821031862468,0.270896374602,0.665132964427,0.822042883377,0.433191457863,0.0226840012279,0.999276149635,0.577247282455,0.772387392333,0.815469873579,0.588816127728,0.282383013415,0.00610919437167,0.964636368737,8862.0,0.210787632589,1.14567614626,0.932381726505,3.91503046716,N/A,"Italian, English, French, Dutch",Italy,Sabina Guzzanti,2005,Documentary,80,856,Francesco Alberoni, Lucia Annunziata
