,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,Verb/Noun,Year,Runtime
Cabaret Desire,0.626933107202,0.764453208814,0.445505156936,0.27039088546,0.206359283977,0.166150001126,0.136643282371,0.196487848981,0.101968735403,0.84175568726,0.745546616487,0.396515503861,0.899823654275,0.437100631691,0.751403527028,0.983108720922,0.342328077641,0.686680719936,0.906824028013,0.648357608571,0.118223518293,0.197137859887,0.975899604682,0.334931612612,0.806530512148,0.498533016278,0.26767911077,0.321183251081,0.218903949559,0.879719243223,2534.0,0.374901341752,1.12352941176,2011,75
C.O.G.,0.475220255273,0.744812927507,0.0599929480129,0.678350465601,0.369080171542,0.218760070947,0.319046274323,0.676429607814,0.248742752383,0.679850978763,0.962815407664,0.0378047198333,0.579540583384,0.159031355133,0.435026167664,0.763133774596,0.82039481065,0.968151907647,0.768820203985,0.681264775793,0.829097320785,0.856665563024,0.734286591622,0.0521688271717,0.489203152676,0.229778922868,0.107412347997,0.177936676767,0.827034394891,0.0737550638435,7404.0,0.19773095624,1.27357320099,2013,88
Cafe Society,0.775431687755,0.840772525012,0.0694871106485,0.52191286055,0.530180316236,0.396004198142,0.282915033935,0.714963621376,0.10915963976,0.764934544228,0.942426275376,0.139036412399,0.869677223313,0.141953279373,0.392461916155,0.98830721526,0.809511594796,0.877826588463,0.960242777871,0.802531995376,0.380952465703,0.404586162705,0.977637772561,0.159584534927,0.788834494095,0.191334446712,0.155318718907,0.225786937039,0.579882798084,0.332839472346,9280.0,0.246982758621,1.1028597786,1995,107
Cadillac Records,0.178642469474,0.418104888339,0.0102792663736,0.89833812356,0.354399299591,0.320418126739,0.246433166106,0.815039866545,0.452633869815,0.460498961177,0.928789808685,0.0158942683877,0.510215796546,0.0340642926184,0.458811563259,0.678520658769,0.941560580052,0.758405712409,0.623331168735,0.791497183912,0.874479703118,0.938443983337,0.792868053426,0.198083017242,0.612110038558,0.111791290344,0.189095406423,0.073228474518,0.953145568967,0.0666496479687,9002.0,0.167629415685,1.24452191235,2008,109
Cabin in the woods,0.271694969535,0.540937993266,0.106325610347,0.716917466879,0.259777439769,0.287371931768,0.251603850313,0.61677679359,0.276028264174,0.734138584888,0.854415289357,0.0493147261182,0.289848048819,0.0979306846686,0.415711818099,0.600973148975,0.699261734543,0.814990138974,0.422931879504,0.714863467342,0.819956739056,0.741184735279,0.909370542244,0.186018696776,0.522647724481,0.235595366599,0.112742457922,0.146973035903,0.411968094487,0.368022391165,5500.0,0.267272727273,1.3280730897,2012,95
Cabaret,0.262478257071,0.571886514148,0.281921308788,0.694197282384,0.258234160992,0.320236354804,0.297012760474,0.405905355558,0.435558505487,0.299437433099,0.81548910067,0.340445689418,0.72619267009,0.47925266562,0.403053401977,0.901588142445,0.604725363504,0.753999843771,0.686830716609,0.514942992544,0.525091532261,0.492561550196,0.929736853692,0.474152271487,0.908153295862,0.450449382336,0.624082328149,0.163713261339,0.547819905273,0.535909036802,7768.0,0.229145211123,1.50733496333,1972,124
Illustrious Corpses,0.38054468881,0.301542191623,0.232697716311,0.455842401478,0.309285882911,0.357170604933,0.220754444336,0.248190287443,0.129920609546,0.641512401125,0.678345096184,0.186926790132,0.52140797052,0.0974730996515,0.392990388986,0.991282896957,0.429172303033,0.5657769511,0.75840101779,0.855320684307,0.312873068058,0.17324144948,0.990709376251,0.401538724127,0.476704037165,0.574526896421,0.353184416532,0.165912707353,0.0653830704248,0.475880420606,5060.0,0.292885375494,1.34647887324,1976,120
Cadillac Man,0.125235117423,0.179972009476,0.0368936035228,0.686369248922,0.253190353485,0.366463040578,0.222527325758,0.567235782424,0.567965933939,0.113128064427,0.816800736367,0.0636306739173,0.426319533865,0.100880026486,0.577306155819,0.402298436394,0.856499665595,0.788578437256,0.5819535461,0.865112099297,0.727094065234,0.954523202967,0.635481930331,0.17039156852,0.207886618101,0.343902169859,0.521745858513,0.0180332015507,0.806399578906,0.0276183516917,11311.0,0.150472990894,1.25722092116,1990,97
Cahill,0.197488549677,0.32361299955,0.094631776749,0.751686487106,0.24611855848,0.28962507702,0.140369139796,0.413234714803,0.325732245296,0.400921144459,0.881206924607,0.0663696399017,0.530959284972,0.0984532238569,0.525515437989,0.782847030886,0.700555400679,0.862034404885,0.612220996354,0.739930457632,0.557321199728,0.765597031545,0.800894888893,0.215234103511,0.374609880282,0.460381824607,0.304116322965,0.0286986271278,0.641602490654,0.0705373925439,6176.0,0.222797927461,1.3135783946,1973,103
Cake Eaters,0.533575040923,0.862307553867,0.0275081167597,0.816547904421,0.462159198077,0.215901400578,0.275869350129,0.865009287794,0.229924377779,0.807555219366,0.990017466965,0.0226118662685,0.550158963001,0.107551388135,0.353441003873,0.654965990334,0.907037249931,0.988704381565,0.757601155325,0.664121624914,0.881158866066,0.921248379763,0.583235087302,0.0208208944565,0.501205296957,0.131619007748,0.0560142330615,0.170083723649,0.89742740959,0.0449487660444,4919.0,0.232974181744,1.17641764176,2007,86
Calamity Jane,0.088073058088,0.117619125928,0.368853588549,0.492413358033,0.159289333487,0.523088983767,0.221861760174,0.159373263628,0.591149147186,0.108674879714,0.468631081509,0.456287179605,0.674806910127,0.454098919479,0.527525767057,0.947664077233,0.514386733341,0.464208079701,0.643339777027,0.718828380606,0.517192580094,0.519255791639,0.791131621707,0.781959409487,0.607686838578,0.698756449174,0.932604452426,0.0430839671537,0.395846049051,0.26693186097,6249.0,0.235237638022,1.53543307087,1953,101
The Dark Knight,0.416594913816,0.395173010656,0.247696704341,0.360535468414,0.477151122716,0.332655743055,0.293759374459,0.497877251581,0.285907993437,0.519017394039,0.958673047831,0.0695059584655,0.537215593148,0.146076602272,0.426612034001,0.851154702934,0.38500804723,0.879212928799,0.680417309325,0.686336545848,0.818315214316,0.345580067648,0.976357693995,0.411143770872,0.496597476369,0.535263745927,0.192883186646,0.0703131038853,0.452625432196,0.351561013261,15982.0,0.143911900888,0.8395173454,2008,152
The Godfather,0.398279825526,0.388479896715,0.115156978935,0.469036699746,0.535783025485,0.403007349706,0.387388160278,0.646006109368,0.356035767283,0.391217010736,0.938136336142,0.083837035235,0.675310282392,0.148114505542,0.449130467835,0.846806110917,0.763718738199,0.846784750081,0.757490941144,0.810912627209,0.715099897166,0.62792086568,0.915812498332,0.242245660956,0.490616051624,0.38987670877,0.273843048307,0.0869230599128,0.750906098732,0.137659151668,13589.0,0.131209066156,0.877121771218,1972,175
Fight Club,0.308727842773,0.463723694141,0.317357433799,0.292647386074,0.397767343332,0.365792586791,0.330875003381,0.328944698403,0.454742612187,0.345632852518,0.866535913255,0.236094103798,0.734892521253,0.344517433158,0.652419283435,0.885234407472,0.587717499915,0.765675386448,0.698304401792,0.571174860043,0.821002240129,0.476491343421,0.967000431834,0.504595947121,0.699463715184,0.64941844042,0.268230615371,0.188077075712,0.492742239533,0.730962723366,16788.0,0.156778651418,0.970945083014,1999,139
The Lord of the Rings: The Fellowship of the Ring,0.661748241506,0.619212210769,0.580072236524,0.369459941348,0.388960774399,0.24101528893,0.279299995791,0.255331712494,0.323896490412,0.707444369079,0.907125880853,0.214751379537,0.79719538964,0.312734239269,0.402208556162,0.981820356658,0.157996095383,0.954578190893,0.84197881304,0.365613380156,0.608338394299,0.0527968759013,0.997983023039,0.871379853673,0.962150405421,0.789614281304,0.125089879561,0.302576397359,0.255685779884,0.536561432594,11174.0,0.169500626454,0.987758945386,2001,178
Star Wars: Episode V - The Empire Strikes Back,0.482654101186,0.667687694414,0.415324112038,0.473080085333,0.422427689231,0.265598501519,0.312365672844,0.468544151771,0.303005181457,0.696204860163,0.964867154441,0.0764867342284,0.498390985449,0.232837423564,0.213741979032,0.865053901987,0.236319735967,0.910927859827,0.555553813509,0.411965405892,0.90538670398,0.0923425946789,0.991178657709,0.569108707,0.799772681931,0.667209265642,0.135467156649,0.199090002948,0.387604275807,0.366293884301,9998.0,0.157731546309,0.820285573609,1980,124
The Matrix,0.570390637854,0.755316330175,0.398425075333,0.408849516175,0.460025998264,0.286186104803,0.297269353219,0.543878985893,0.248863987926,0.758940276087,0.98682429677,0.0568620159062,0.743045610821,0.207509225467,0.286130170681,0.858210059092,0.291295817322,0.940188500054,0.79582937631,0.581769707749,0.952551183183,0.134702293295,0.994310944239,0.441239733775,0.832521760781,0.46725820437,0.0526980493189,0.170802979027,0.404463406679,0.616901172314,9714.0,0.156886967264,0.697207251347,1999,136
The silence of the lambs,0.436061830689,0.600663739106,0.269436405024,0.513139043288,0.48344294852,0.265332044606,0.164555279128,0.490112716061,0.105620687749,0.668906811293,0.965228896685,0.129527192198,0.768659113728,0.25065917737,0.445652373122,0.925034890147,0.363675873416,0.869709399141,0.660306037977,0.531407643492,0.530053695327,0.0884691478037,0.952731757101,0.235893015129,0.570420817262,0.460059505188,0.446647930142,0.0635871098557,0.357661181182,0.379425191122,10362.0,0.183169272341,1.08608554413,1991,118
